site,use,veg,trap,trap_id,otu,n
WMONI,high,low,1,WMONI-1,diptera,14
WMONI,high,low,1,WMONI-1,hemiptera,3
WMONI,high,low,1,WMONI-1,hymenoptera,20
WMONI,high,low,1,WMONI-1,acari,3
WMONI,high,low,1,WMONI-1,pseudoscorpiones,1
WMONI,high,low,2,WMONI-2,coleoptera,10
WMONI,high,low,2,WMONI-2,diptera,35
WMONI,high,low,2,WMONI-2,hemiptera,5
WMONI,high,low,2,WMONI-2,hymenoptera,20
WMONI,high,low,2,WMONI-2,collembola,29
WMONI,high,low,2,WMONI-2,acari,10
WMONI,high,low,2,WMONI-2,araneae,2
WMONI,high,low,2,WMONI-2,chilopoda,1
WMONI,high,low,3,WMONI-3,coleoptera,3
WMONI,high,low,3,WMONI-3,diptera,37
WMONI,high,low,3,WMONI-3,hemiptera,1
WMONI,high,low,3,WMONI-3,hymenoptera,15
WMONI,high,low,3,WMONI-3,collembola,5
WMONI,high,low,4,WMONI-4,coleoptera,6
WMONI,high,low,4,WMONI-4,diptera,24
WMONI,high,low,4,WMONI-4,hemiptera,3
WMONI,high,low,4,WMONI-4,hymenoptera,3
WMONI,high,low,4,WMONI-4,collembola,3
WMONI,high,low,4,WMONI-4,embioptera,2
WMONI,high,low,4,WMONI-4,acari,1
WMONI,high,low,4,WMONI-4,raphidioptera,1
WMONI,high,low,5,WMONI-5,coleoptera,6
WMONI,high,low,5,WMONI-5,diptera,21
WMONI,high,low,5,WMONI-5,hymenoptera,6
WMONI,high,low,5,WMONI-5,collembola,2
WMONI,high,low,5,WMONI-5,acari,1
WMONI,high,low,5,WMONI-5,araneae,1
WMONI,high,low,6,WMONI-6,coleoptera,5
WMONI,high,low,6,WMONI-6,diptera,11
WMONI,high,low,6,WMONI-6,hemiptera,2
WMONI,high,low,6,WMONI-6,hymenoptera,10
WMONI,high,low,6,WMONI-6,embioptera,1
WMONI,high,low,6,WMONI-6,acari,1
WMONI,high,low,6,WMONI-6,lizard,1
WMONI,high,low,7,WMONI-7,coleoptera,7
WMONI,high,low,7,WMONI-7,diptera,18
WMONI,high,low,7,WMONI-7,hymenoptera,22
WMONI,high,low,7,WMONI-7,collembola,14
WMONI,high,low,7,WMONI-7,embioptera,1
WMONI,high,low,7,WMONI-7,acari,6
WMONI,high,low,7,WMONI-7,araneae,2
WMONI,high,low,8,WMONI-8,coleoptera,7
WMONI,high,low,8,WMONI-8,diptera,48
WMONI,high,low,8,WMONI-8,hemiptera,1
WMONI,high,low,8,WMONI-8,hymenoptera,5
WMONI,high,low,8,WMONI-8,collembola,30
WMONI,high,low,8,WMONI-8,acari,6
WMONI,high,low,8,WMONI-8,araneae,1
WMONI,high,low,9,WMONI-9,coleoptera,2
WMONI,high,low,9,WMONI-9,diptera,30
WMONI,high,low,9,WMONI-9,hymenoptera,3
WMONI,high,low,9,WMONI-9,acari,2
WMONI,high,low,10,WMONI-10,coleoptera,3
WMONI,high,low,10,WMONI-10,diptera,38
WMONI,high,low,10,WMONI-10,hymenoptera,30
WMONI,high,low,10,WMONI-10,collembola,17
WMONI,high,low,10,WMONI-10,embioptera,1
WMONI,high,low,10,WMONI-10,acari,19
WMONI,high,low,10,WMONI-10,araneae,3
WMONI,high,low,10,WMONI-10,isopoda,1
WMONI,high,low,11,WMONI-11,coleoptera,7
WMONI,high,low,11,WMONI-11,diptera,26
WMONI,high,low,11,WMONI-11,hymenoptera,16
WMONI,high,low,11,WMONI-11,acari,1
WMONI,high,low,11,WMONI-11,araneae,2
WMONI,high,low,12,WMONI-12,coleoptera,2
WMONI,high,low,12,WMONI-12,diptera,29
WMONI,high,low,12,WMONI-12,hemiptera,8
WMONI,high,low,12,WMONI-12,hymenoptera,8
WMONI,high,low,12,WMONI-12,lizard,1
